dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
1825-01-01,25.332,3.194,Singapore,Singapore,0.80N,103.66E
1825-02-01,25.549,1.471,Singapore,Singapore,0.80N,103.66E
1825-03-01,26.285,2.193,Singapore,Singapore,0.80N,103.66E
1825-04-01,26.999,2.571,Singapore,Singapore,0.80N,103.66E
1825-05-01,27.45,1.591,Singapore,Singapore,0.80N,103.66E
1825-06-01,27.732,0.901,Singapore,Singapore,0.80N,103.66E
1825-07-01,27.765,3.14,Singapore,Singapore,0.80N,103.66E
1825-08-01,26.399,2.432,Singapore,Singapore,0.80N,103.66E
1825-09-01,26.143,1.976,Singapore,Singapore,0.80N,103.66E
1825-10-01,26.04,2.577,Singapore,Singapore,0.80N,103.66E
1825-11-01,26.249,2.025,Singapore,Singapore,0.80N,103.66E
1825-12-01,25.161,1.47,Singapore,Singapore,0.80N,103.66E
1826-01-01,,,Singapore,Singapore,0.80N,103.66E
1826-02-01,,,Singapore,Singapore,0.80N,103.66E
1826-03-01,,,Singapore,Singapore,0.80N,103.66E
1826-04-01,,,Singapore,Singapore,0.80N,103.66E
1826-05-01,,,Singapore,Singapore,0.80N,103.66E
1826-06-01,,,Singapore,Singapore,0.80N,103.66E
1826-07-01,,,Singapore,Singapore,0.80N,103.66E
1826-08-01,,,Singapore,Singapore,0.80N,103.66E
1826-09-01,,,Singapore,Singapore,0.80N,103.66E
1826-10-01,,,Singapore,Singapore,0.80N,103.66E
1826-11-01,,,Singapore,Singapore,0.80N,103.66E
1826-12-01,,,Singapore,Singapore,0.80N,103.66E
1827-01-01,,,Singapore,Singapore,0.80N,103.66E
1827-02-01,,,Singapore,Singapore,0.80N,103.66E
1827-03-01,,,Singapore,Singapore,0.80N,103.66E
1827-04-01,,,Singapore,Singapore,0.80N,103.66E
1827-05-01,,,Singapore,Singapore,0.80N,103.66E
1827-06-01,,,Singapore,Singapore,0.80N,103.66E
1827-07-01,,,Singapore,Singapore,0.80N,103.66E
1827-08-01,,,Singapore,Singapore,0.80N,103.66E
1827-09-01,,,Singapore,Singapore,0.80N,103.66E
1827-10-01,,,Singapore,Singapore,0.80N,103.66E
1827-11-01,,,Singapore,Singapore,0.80N,103.66E
1827-12-01,,,Singapore,Singapore,0.80N,103.66E
1828-01-01,,,Singapore,Singapore,0.80N,103.66E
1828-02-01,,,Singapore,Singapore,0.80N,103.66E
1828-03-01,,,Singapore,Singapore,0.80N,103.66E
1828-04-01,,,Singapore,Singapore,0.80N,103.66E
1828-05-01,,,Singapore,Singapore,0.80N,103.66E
1828-06-01,,,Singapore,Singapore,0.80N,103.66E
1828-07-01,,,Singapore,Singapore,0.80N,103.66E
1828-08-01,,,Singapore,Singapore,0.80N,103.66E
